MSOA11CD,MSOA11NM,MSOACode,MSOAName,nEPCs,sumEPC_tCO2,n_epcIsSocialRent,n_epcIsPrivateRent,n_epcIsOwnerOcc,n_epcIsUnknownTenure,sumEpcMWh,date,geography,geography code,Rural Urban,Tenure: All households; measures: Value,Tenure: Owned; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,Tenure: Social rented; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other; measures: Value,Tenure: Private rented; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Other; measures: Value,Tenure: Living rent free; measures: Value,census2011_socialRent,census2011_privateRent,census2011_ownerOccupy,census2011_other,hhCheck,nHHs_tenure,i.date,i.geography,i.geography code,i.Rural Urban,Household Deprivation: All categories: Classification of household deprivation; measures: Value,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value,totalHouseholds,LAName,nHHs_deprivation,nGasMeters,beisGasMWh,nElecMeters,beisElecMWh,i.LAName,beisEnergyMWh,dep0_pc,socRent_pc,privRent_pc,ownerOcc_pc
E02003570,Southampton 022,E02003570,Southampton 022,3424,10183,828,1320,772,165,58326.678496,2011,Southampton 022,E02003570,Total,3635,821,357,464,20,1084,621,463,1661,1603,58,49,1084,1661,821,49,3615,3635,2011,Southampton 022,E02003570,Total,3635,929,1285,946,415,60,3635,Southampton,3635,3083,34730.59843,4142,14719.37189,Southampton,49449.97032,25.5570839064649,29.8211829436039,45.6946354883081,22.585969738652
E02003571,Southampton 023,E02003571,Southampton 023,2958,8206.1,368,1396,725,258,47820.533587,2011,Southampton 023,E02003571,Total,3040,653,305,348,5,615,256,359,1732,1676,56,35,615,1732,653,35,3035,3040,2011,Southampton 023,E02003571,Total,3040,1458,956,451,153,22,3040,Southampton,3040,1808,21269.29383,3530,12216.39698,Southampton,33485.69081,47.9605263157895,20.2302631578947,56.9736842105263,21.4802631578947
E02003572,Southampton 024,E02003572,Southampton 024,1367,5343.1,79,280,946,13,30078.454331,2011,Southampton 024,E02003572,Total,2484,1870,802,1068,13,202,158,44,384,351,33,15,202,384,1870,15,2471,2484,2011,Southampton 024,E02003572,Total,2484,1133,801,436,103,11,2484,Southampton,2484,2381,30332.48776,2597,9347.892573,Southampton,39680.380333,45.6119162640902,8.13204508856683,15.4589371980676,75.2818035426731
E02003573,Southampton 025,E02003573,Southampton 025,2106,6896.5,954,131,759,152,38992.167058,2011,Southampton 025,E02003573,Total,3236,1548,796,752,31,1409,1291,118,198,169,29,50,1409,198,1548,50,3205,3236,2011,Southampton 025,E02003573,Total,3236,957,1146,828,265,40,3236,Southampton,3236,2996,29240.86974,3470,12474.04171,Southampton,41714.91145,29.5735475896168,43.5414091470952,6.11866501854141,47.8368355995056
E02003574,Southampton 026,E02003574,Southampton 026,1971,6640.6,260,283,1194,22,37589.530008,2011,Southampton 026,E02003574,Total,3412,2447,1101,1346,65,402,299,103,466,425,41,32,402,466,2447,32,3347,3412,2011,Southampton 026,E02003574,Total,3412,1391,1136,728,134,23,3412,Southampton,3412,3070,33475.75318,3599,12086.88364,Southampton,45562.63682,40.767878077374,11.7819460726846,13.6576787807737,71.7174677608441
E02003575,Southampton 027,E02003575,Southampton 027,2028,6363.2,1075,150,684,51,36550.735401,2011,Southampton 027,E02003575,Total,2808,1057,403,654,43,1436,1316,120,231,207,24,41,1436,231,1057,41,2765,2808,2011,Southampton 027,E02003575,Total,2808,831,968,732,245,32,2808,Southampton,2808,2028,17956.65328,2987,10984.80626,Southampton,28941.45954,29.5940170940171,51.1396011396012,8.22649572649573,37.6424501424501
E02003576,Southampton 028,E02003576,Southampton 028,2120,6989.4,478,502,1090,15,39556.606899,2011,Southampton 028,E02003576,Total,3434,1937,668,1269,40,784,528,256,638,602,36,35,784,638,1937,35,3394,3434,2011,Southampton 028,E02003576,Total,3434,1339,1114,736,219,26,3434,Southampton,3434,2999,30840.23115,3614,13260.24734,Southampton,44100.47849,38.9924286546302,22.8305183459522,18.5789167152009,56.4065230052417
E02003577,Southampton 029,E02003577,Southampton 029,5879,13085.7,968,1999,1302,431,77245.243565,2011,Southampton 029,E02003577,Total,4908,1211,409,802,160,1355,959,396,2115,2040,75,67,1355,2115,1211,67,4748,4908,2011,Southampton 029,E02003577,Total,4908,1861,1763,915,299,70,4908,Southampton,4908,2420,20108.63369,6734,27352.6982,Southampton,47461.33189,37.917685411573,27.6079869600652,43.0929095354523,24.6740016299919
E02003578,Southampton 030,E02003578,Southampton 030,1519,4876.4,173,291,933,21,27644.407294,2011,Southampton 030,E02003578,Total,2641,1905,758,1147,19,281,187,94,414,374,40,22,281,414,1905,22,2622,2641,2011,Southampton 030,E02003578,Total,2641,1164,877,489,94,17,2641,Southampton,2641,2493,26525.49559,2830,10046.80627,Southampton,36572.30186,44.0742143127603,10.6399091253313,15.6758803483529,72.1317682695949
E02003579,Southampton 031,E02003579,Southampton 031,3112,8174.5,214,621,1253,321,46140.806416,2011,Southampton 031,E02003579,Total,3357,2118,886,1232,23,388,162,226,799,751,48,29,388,799,2118,29,3334,3357,2011,Southampton 031,E02003579,Total,3357,1508,1085,582,163,19,3357,Southampton,3357,3068,34052.12047,4460,13860.93609,Southampton,47913.05656,44.9210604706583,11.5579386356866,23.8010128090557,63.0920464700626
E02003580,Southampton 032,E02003580,Southampton 032,1783,5361.8,883,113,688,16,30726.4375475,2011,Southampton 032,E02003580,Total,2617,934,361,573,22,1452,1322,130,174,157,17,35,1452,174,934,35,2595,2617,2011,Southampton 032,E02003580,Total,2617,712,923,666,283,33,2617,Southampton,2617,1716,15056.06366,2825,9432.095361,Southampton,24488.159021,27.2067252579289,55.4833779136416,6.64883454337027,35.6897210546427
